"tech","announced","status","dim_length","dim_breadth","dim_thickness","weight","sim","display_tech","display_size","display_res","aspect_ratio","ip_certification","os","chipset","cpu","gpu","card_slot","ram","bt_v","gps","radio","nfc","wlan","battery_mah","audio_jack","price","camera","video","selfie","oem","device"
"GSM / HSPA / LTE","2014, June","Available. Released 2014, September","147","72","9.5","155","Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","5","480 x 854","16:9","NA","Android 4.4.2 (KitKat)","Qualcomm MSM8926 Snapdragon 400","Quad-core 1.2 GHz Cortex-A7","Adreno 305","microSD","1","4","Yes","To be confirmed","NA","Wi-Fi","2500","Yes","200","8 MP, autofocus, LED flash","Yes","2 MP or VGA","Acer","Liquid E600"
"GSM / HSPA","2014, June","Available. Released 2014, September","126","65","10.3","130","Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)","TFT capacitive touchscreen","4","480 x 800","5:3","NA","Android 4.4.2 (KitKat)","Mediatek MT6572M","Dual-core 1.0 GHz Cortex-A7","Mali-400","microSD","0.5","4","Yes","FM radio","NA","Wi-Fi","1300","Yes","90","2 MP","Yes","No","Acer","Liquid Z200"
"No cellular connectivity","2014, June","Available. Released 2014, September","215","130","8.5","360","No","IPS LCD capacitive touchscreen, 16M colors","8","1200 x 1920","16:10","NA","Android 4.4.2 (KitKat)","Intel Atom Z3745","Quad-core 1.86 GHz","Intel Gen 7 (Ivy Bridge)","microSD","2","4","Yes","No","NA","Wi-Fi","4600","Yes","200","5 MP","Yes","2 MP","Acer","Iconia Tab 8 A1-840FHD"
"GSM / HSPA","2014, April","Available. Released 2014, August","8.9","NA","NA","298","Yes","TFT capacitive touchscreen","7","600 x 1024","16:9","NA","Android 4.2.2 (Jelly Bean), planned upgrade to 4.4.2 (KitKat)","NA","Quad-core","NA","microSD","1","NA","Yes","No","NA","Wi-Fi","NA","Yes","110","2 MP","Yes","Yes","Acer","Iconia Tab 7 A1-713"
"GSM / HSPA","2014, April","Available. Released 2014, August","8.9","NA","NA","298","Yes","IPS LCD capacitive touchscreen","7","800 x 1280","16:10","NA","Android 4.4.2 (KitKat)","NA","Quad-core","NA","microSD","1","NA","Yes","No","NA","Wi-Fi","NA","Yes","150","5 MP","Yes","Yes","Acer","Iconia Tab 7 A1-713HD"
"No cellular connectivity","2014, April","Available. Released 2014, June","8.9","NA","NA","NA","No","IPS LCD capacitive touchscreen","7","800 x 1280","16:10","NA","Android 4.2.2 (Jelly Bean), planned upgrade to 4.4.2 (KitKat)","Intel Atom Z2560","Dual-core 1.6 GHz","PowerVR SGX544MP2","microSD","1","NA","No","No","NA","Wi-Fi","3700","Yes","90","5 MP","Yes","Yes","Acer","Iconia One 7 B1-730"
"GSM / HSPA","2014, Q3","Available. Released 2014, Q3","138","69","8.9","NA","Dual SIM","IPS LCD capacitive touchscreen, 16M colors","4.7","720 x 1280","16:9","NA","Android 4.2.2 (Jelly Bean)","Mediatek MT6589","Quad-core 1.2 GHz Cortex-A7","PowerVR SGX544","microSD","2","4","Yes","To be confirmed","NA","Yes","NA","Yes","240","13 MP, autofocus, LED flash","Yes","2 MP, LED flash","Acer","Liquid E3 Duo Plus"
"GSM / HSPA","2014, February","Available. Released 2014, April","136","68","9","134","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.7","720 x 1280","16:9","NA","Android 4.2.2 (Jelly Bean)","Mediatek MT6589","Quad-core 1.2 GHz Cortex-A7","PowerVR SGX544","microSD","1","NA","Yes","To be confirmed","NA","Yes","NA","Yes","200","13 MP, autofocus, LED flash","Yes","2 MP, LED flash","Acer","Liquid E3"
"GSM / HSPA","2014, February","Available. Released 2014, April","124","64","9.7","122","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen","4","480 x 800","5:3","NA","Android 4.2.2 (Jelly Bean)","Mediatek MT6572","Dual-core 1.3 GHz Cortex-A7","Mali-400","microSD","0.5","4","No","No","NA","Yes","1630","Yes","100","5 MP, autofocus, LED flash","720p@30fps","1.3 MP","Acer","Liquid Z4"
"GSM / HSPA","2014, January","Available. Released 2014, January","199","122.3","11.4","323","Yes","TFT capacitive touchscreen","7","600 x 1024","16:9","NA","Android 4.2 (Jelly Bean)","Mediatek MT8312","Dual-core 1.3 GHz Cortex-A7","Mali-400","microSD","1","NA","Yes","No","NA","Wi-Fi","2955","Yes","130","VGA","Yes","No","Acer","Iconia B1-721"
"No cellular connectivity","2014, January","Available. Released 2014, January","198.1","121.9","10.2","315","No","TFT capacitive touchscreen","7","600 x 1024","16:9","NA","Android 4.2 (Jelly Bean)","Mediatek MT8111","Dual-core 1.3 GHz","PowerVR SGX531","microSD","1","4","Yes","No","NA","Wi-Fi","2955","Yes","100","VGA","Yes","No","Acer","Iconia B1-720"
"No cellular connectivity","2014, January","Available. Released 2014, March","203","138.4","8.2","380","No","LED-backlit IPS LCD capacitive touchscreen, 16M colors","7.9","768 x 1024","4:3","NA","Android 4.2 (Jelly Bean)","Intel Atom Z2560","Dual-core 1.6 GHz","PowerVR SGX544MP2","microSD","1","3","Yes","No","NA","Wi-Fi","4000","Yes","130","5 MP, autofocus","1080p","2 MP","Acer","Iconia A1-830"
"GSM / HSPA","2014, January","Available. Released 2014, January","145.5","73.5","8.8","150","Dual SIM","TFT capacitive touchscreen, 16M colors","5","480 x 854","16:9","NA","Android 4.2 (Jelly Bean)","Mediatek MT6572","Dual-core 1.3 GHz Cortex-A7","Mali-400","microSD","0.5","3","Yes","FM radio","NA","Wi-Fi","2000","Yes","170","5 MP, LED flash","Yes","VGA","Acer","Liquid Z5"
"GSM / HSPA / LTE","2013, August","Available. Released 2013, December","166","86.2","9","229","Nano-SIM","IPS LCD capacitive touchscreen, 16M colors","6","1080 x 1920","16:9","NA","Android 4.2.2 (Jelly Bean)","Qualcomm MSM8974 Snapdragon 800","Quad-core 2.2 GHz Krait 400","Adreno 330","microSD","2","4","Yes","Stereo FM radio","Yes","Wi-Fi","3300","Yes","340","13 MP, autofocus, quad-LED (ring) flash","2160p@24fps, 1080p@60fps","2 MP, 1080p@30fps","Acer","Liquid S2"
"GSM / HSPA","2013, August","Available. Released 2013, September","109","60","10.4","120","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","3.5","320 x 480","3:2","NA","Android 4.2 (Jelly Bean)","Mediatek MT6572","Dual-core 1.0 GHz Cortex-A7","Mali-400","microSD","0.5","3","Yes","Stereo FM radio","NA","Wi-Fi","1500","Yes","100","3.15 MP","Yes","No","Acer","Liquid Z3"
"GSM / HSPA","2013, June","Available. Released 2013, August","163","83","9.6","195","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.7","720 x 1280","16:9","NA","Android 4.2 (Jelly Bean)","Mediatek MT6589","Quad-core 1.5 GHz Cortex-A7","PowerVR SGX544","microSD","1","4","Yes","FM radio","NA","Wi-Fi","2400","Yes","320","8 MP, autofocus, LED flash","1080p@30fps","2 MP","Acer","Liquid S1"
"GSM / HSPA","2013, September","Available. Released 2013, November","260","175","10.2","560","Micro-SIM","LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1","800 x 1280","16:10","NA","Android 4.2.2 (Jelly Bean)","Mediatek MT8125T - Wi-FiMediatek MT8389W - 3G","Quad-core 1.2 GHz Cortex-A7","PowerVR SGX544","microSD","1","4","Yes","No","NA","Wi-Fi","7300","Yes","190","5 MP","1080p","VGA","Acer","Iconia Tab A3"
